audit_layer,category,count,share,status
international_frame,conflict_memory_human_rights,1,0.0476,ok
international_frame,economic_market,2,0.0952,ok
international_frame,institutional_descriptive,6,0.2857,ok
international_frame,polarisation_comparative,2,0.0952,ok
international_frame,security_market_anti_petro,5,0.2381,ok
international_frame,social_rights_progressive,5,0.2381,ok
amplifier_piece_alignment,favourable_cepeda_or_critical_de_la_espriella,8,0.3636,ok
amplifier_piece_alignment,favourable_de_la_espriella_or_critical_cepeda,7,0.3182,ok
amplifier_piece_alignment,mixed_interview_or_informational,7,0.3182,ok
amplifier_type,activist_documentary_creator,1,0.0455,ok
amplifier_type,conservative_radio_opinion_program,1,0.0455,ok
amplifier_type,digital_morning_news,1,0.0455,ok
amplifier_type,digital_morning_news_and_debate,1,0.0455,ok
amplifier_type,digital_morning_news_and_interview,1,0.0455,ok
amplifier_type,digital_political_media_page,1,0.0455,ok
amplifier_type,editorial_opinion_channel,3,0.1364,ok
amplifier_type,independent_election_news_program,1,0.0455,ok
amplifier_type,independent_news_amplifier,1,0.0455,ok
amplifier_type,independent_opinion_program,1,0.0455,ok
amplifier_type,international_conservative_influencer,1,0.0455,ok
amplifier_type,investigative_journalism_program,1,0.0455,ok
amplifier_type,networked_fandom_community,1,0.0455,ok
amplifier_type,opinion_columnist,1,0.0455,ok
amplifier_type,progressive_political_influencer,3,0.1364,ok
amplifier_type,satirical_character_and_interviewer,1,0.0455,ok
amplifier_type,satirical_digital_news_program,1,0.0455,ok
amplifier_type,streamer,1,0.0455,ok
